Workshop Name,Workshop Beschreibung,PoleStudio,Stadt,Straße,Datum,Uhrzeit,Dauer,Level,Trainer,Trainer Beschreibung,Preis,Workshop Everest Seite,PoleStudio Eversports Seite,Version
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",07.05.2023,12:00-13:30 Uhr,90 min,0,Joana,"Profi durch & durch. Joana ist freiberufliche Tänzerin und Luftakrobatin.Die gebürtige Kanadierin studierte Tanz an der Fontys Tanzakademie in Tilburg und ist seit ihrem erfolgreichen Abschluss in 2008 in Musicals und Opern, auf Festivals und verschiedenen anderen Bühnen zu sehen.
Ihr Einstieg in die Luftakrobatik war ein Pole Dance Intensivkurs Anfang 2013. Ein paar Jahre später fügte sie weitere Schwerkrafttrotzende Disziplinen hinzu, wie z.B. Aerial Hoop, Silks und Net. In ihrer Arbeit liebt sie Herausforderungen und Nervenkitzel, im Privaten ist sie eher ruhig und besonnen. Sie legt gerne den Schwerpunkt in ihren Kursen auf effizientes und bewusstes Koordinieren in der Luft und auf dem Boden.
Teaching language: German, English & Dutch","Preis: 35,00 €",https://www.eversports.de/e/workshop/x1w0Mq3Y7,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:44
Pole Dance Probestunde Poda Birthday Special Free,"It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Pole Dance mal ausprobieren? Dann bist du bei uns richtig!Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose (eine die sich über die Knie ziehen lässt, da wir uns mit der Haut an der Stange halten) ein Oberteil / Top *getanzt wird barfuß oder auf SockenMach mit!It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Pole Dance mal ausprobieren? Dann bist du bei uns richtig!Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose (eine die sich über die Knie ziehen lässt, da wir uns mit der Haut an der Stange halten) ein Oberteil / Top *getanzt wird barfuß oder auf SockenMach mit!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",07.05.2023,14:00-15:00 Uhr,60 min,Alle Level,Lena,"Lena liebt Tanzen! Mit 3. Jahren fing sie mit klassischem Ballett an, daraufhin folgten Jazz Dance, Hip Hop & Breakdance, Modern, Contemporary & Lyrical Dance und seit 2016 auch Pole Dance. Ihre Hingabe ans Tanzen sieht man wenn Sie an der Pole ist und spiegelt sich in ihrer sauberen Technik wieder. In ihrer Freizeit stickt und reist sie gerne, liebt Blumen & Katzen.
Lena studiert Englisch & Philosophie an der Universität Köln.
Teaching language: German & English","Preis: 0,00 €",https://www.eversports.de/e/workshop/xFwPArnAH,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:44
Pole Fitness Poda Birthday Special Free,"It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Pole Fitness mal ausprobieren? Dann bist du bei uns richtig!Für alle die sich mal sportlich an der Pole versuchen möchten. Ohne Choreografie.Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose (eine die sich über die Knie ziehen lässt, da wir uns mit der Haut an der Stange halten) ein Oberteil / Top *trainiert wird barfuß oder auf SockenGet fit mit Pole Fitness!It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Pole Fitness mal ausprobieren? Dann bist du bei uns richtig!Für alle die sich mal sportlich an der Pole versuchen möchten. Ohne Choreografie.Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose (eine die sich über die Knie ziehen lässt, da wir uns mit der Haut an der Stange halten) ein Oberteil / Top *trainiert wird barfuß oder auf SockenGet fit mit Pole Fitness!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",07.05.2023,15:15-16:15 Uhr,60 min,Alle Level,Sarah,"Kreativ, verständnisvoll, Power woman!
Geprägt vom rheinischen Karneval, begann Sarah zunächst mit Garde- und Showtanz und übte sich später in anderen Tanzstilen wie Hip Hop, Breakdance und Dancehall. Sarah hat Psychologie in den Niederlanden studiert und macht aktuell die Ausbildung zur Psychotherapeutin in Köln. 2014, während eines Auslandssemesters in England, lernte sie Pole Dance kennen und war sofort Feuer und Flamme. Unser ""lekker meisje"" liebt Tricks an der Pole und kann auch auf Niederländisch unterrichten :-)
Teaching language: German, English & Dutch","Preis: 0,00 €",https://www.eversports.de/e/workshop/Sh6fqaIks,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:44
Twerk Chair Poda Birthday Special Free,"It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Twerk & Chair ausprobieren? Dann bist du bei uns richtig!Hier wird geshaked was das Zeug hält. Lerne coole Twerk Moves gepaart mit Chair Dance Elementen.Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose, ein Oberteil / Top *getanzt wird barfuß oder auf SockenDance with us!It's Poda 8. Birthday!!!Alle Kurse sind heute kostenlos für alle :) Sichert euch jetzt euren Platz und kommt vorbei!Du möchtest Twerk & Chair ausprobieren? Dann bist du bei uns richtig!Hier wird geshaked was das Zeug hält. Lerne coole Twerk Moves gepaart mit Chair Dance Elementen.Es werden keine Kenntnisse vorausgesetzt um hier dran teilzunehmen. Lust was Neues auszuprobieren reicht.Kleidung kurze oder lange Hose, ein Oberteil / Top *getanzt wird barfuß oder auf SockenDance with us!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",07.05.2023,16:30-17:30 Uhr,60 min,0,Emmy,"Kreativ, offen, Allrounder & Tattoo lover.
Emmy hat mit vier Jahren ihre Liebe zum Tanzen entdeckt und lange Ballett getanzt. Anfang 20 entdeckte sie die Liebe zum Pole. Mittlerweile ist Luftakrobatik und Tanz kein Sport mehr, sondern eine Leidenschaft, die jeden Tag neu erfunden werden kann. Das ist was sie am meisten an diesen Sportarten fasziniert. Emmy hat ihren Master in Literatur und Kulturwissenschaften abgeschlossen und startet aktuell ins Berufsleben.
Teaching language: German & English","Preis: 0,00 €",https://www.eversports.de/e/workshop/feME-_7tG,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:44
Hard Style Exotic Pole Workshop,Its getting hard & badass mit Celine. Hier geht es nicht um klassische sexy Heelmoves sondern um crazy Jumps & Kicks mit Heels on Pole. Celine zeigt dir eine Pole Choreography im Hard Style die es in sich hat.Was ihr mitbringen solltet:Meld dich an und lass die Bad Bitch in dir raus!Preis: 35€ pro Person / 30€ für Poda Mitglieder mit AboIts getting hard & badass mit Celine. Hier geht es nicht um klassische sexy Heelmoves sondern um crazy Jumps & Kicks mit Heels on Pole. Celine zeigt dir eine Pole Choreography im Hard Style die es in sich hat.Was ihr mitbringen solltet:Meld dich an und lass die Bad Bitch in dir raus!Preis: 35€ pro Person / 30€ für Poda Mitglieder mit Abo,poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",14.05.2023,12:00-13:30 Uhr,90 min,Alle Level,Celine,"Pole Trainerin
Witzig & a little bit crazy. Celine tanzte lange Youtube-Videos nach, bis sie irgendwann entschied im Poda eine neue Leidenschaft zu entdecken und verliebte sich schnell in die verschiedensten Exotic-Stile, kraftvolle Tricks und jede weitere Herausforderung, die der Pole Sport zu bieten hat.
Mit ihrer lockeren Art unterrichtet sie seit Ende 2022 und liebt es ihre Begeisterung mit anderen zu teilen. Neben Pole studiert Celine Maschinenbau an der RWTH, probiert sich immer wieder an neuen Hobbys, liebt alles rund um Musik und zockt gelegentlich
Teaching language: German, English & Korean","Preis: 35,00 €",https://www.eversports.de/e/workshop/dCR2PVd05,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:45
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",04.06.2023,12:00-13:30 Uhr,90 min,0,Joana,"Profi durch & durch. Joana ist freiberufliche Tänzerin und Luftakrobatin.Die gebürtige Kanadierin studierte Tanz an der Fontys Tanzakademie in Tilburg und ist seit ihrem erfolgreichen Abschluss in 2008 in Musicals und Opern, auf Festivals und verschiedenen anderen Bühnen zu sehen.
Ihr Einstieg in die Luftakrobatik war ein Pole Dance Intensivkurs Anfang 2013. Ein paar Jahre später fügte sie weitere Schwerkrafttrotzende Disziplinen hinzu, wie z.B. Aerial Hoop, Silks und Net. In ihrer Arbeit liebt sie Herausforderungen und Nervenkitzel, im Privaten ist sie eher ruhig und besonnen. Sie legt gerne den Schwerpunkt in ihren Kursen auf effizientes und bewusstes Koordinieren in der Luft und auf dem Boden.
Teaching language: German, English & Dutch","Preis: 35,00 €",https://www.eversports.de/e/workshop/nb8_WV2wH,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:45
 Fortsetzung folgt Lady Marmalade Chair Dance Workshop,Ihr wollt sie? Ihr bekommt sie!Hier kommt die Fortsetzung zum *Lady Marmalade* Chair Dance Workshop vom September 2022 mit Emmy! (Ihr müsst für die Fortsetzung nicht am ersten Workshop teilgenommen haben.)* Lady Marmalade* Chair Dance Choreografie WorkshopHey sister go! Emmy zeigt dir eine neue Chair Dance Choreografie mit tänzerischen und akrobatische Elementen auf und mit dem Stuhl im  Lady Marmalade Style . Für alle Burlesque & Christina Aguliera Fans...All level!Was du mitbringen solltest:Preis: 35€ pro Person / 30€ für Poda Mitglieder mit AboDon't miss it!Ihr wollt sie? Ihr bekommt sie!Hier kommt die Fortsetzung zum *Lady Marmalade* Chair Dance Workshop vom September 2022 mit Emmy! (Ihr müsst für die Fortsetzung nicht am ersten Workshop teilgenommen haben.)* Lady Marmalade* Chair Dance Choreografie WorkshopHey sister go! Emmy zeigt dir eine neue Chair Dance Choreografie mit tänzerischen und akrobatische Elementen auf und mit dem Stuhl im  Lady Marmalade Style . Für alle Burlesque & Christina Aguliera Fans...All level!Was du mitbringen solltest:Preis: 35€ pro Person / 30€ für Poda Mitglieder mit AboDon't miss it!,poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",10.06.2023,09:15-10:45 Uhr,90 min,Alle Level,Emmy,"Kreativ, offen, Allrounder & Tattoo lover.
Emmy hat mit vier Jahren ihre Liebe zum Tanzen entdeckt und lange Ballett getanzt. Anfang 20 entdeckte sie die Liebe zum Pole. Mittlerweile ist Luftakrobatik und Tanz kein Sport mehr, sondern eine Leidenschaft, die jeden Tag neu erfunden werden kann. Das ist was sie am meisten an diesen Sportarten fasziniert. Emmy hat ihren Master in Literatur und Kulturwissenschaften abgeschlossen und startet aktuell ins Berufsleben.
Teaching language: German & English","Preis: 35,00 €",https://www.eversports.de/e/workshop/cDPxswQQp,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:45
 Fortsetzung folgt Azzlack Stereotyp 2 Exotic Pole Workshop,"Ihr wollt sie? Ihr bekommt sie!Hier kommt die Fortsetzung zum Azzlack Stereotyp 2 - Exotic Pole Workshop vom März 2023 mit Emmy! (Ihr müsst für die Fortsetzung nicht am ersten Workshop teilgenommen haben.)Azzlack Stereotyp 2 - Exotic Pole Workshop﻿Kennt ihr das? Sobald ihr Deutschrap hört, fühlt ihr euch sofort richtig 'gangster'?  Dann wird das hier euer Workshop!Alles was ihr braucht sind eure Heels, eine Prise 'street credibility' und Bock. Lasst gemeinsam mit Emmy zu feinster 'Azzlack Musik' den 'Babo' raushängen und 'rasiert' mit euren Heels die Pole ;)Preis: 35€ pro Person 30€ für Poda Mitglieder mit AboMeld dich an!Ihr wollt sie? Ihr bekommt sie!Hier kommt die Fortsetzung zum Azzlack Stereotyp 2 - Exotic Pole Workshop vom März 2023 mit Emmy! (Ihr müsst für die Fortsetzung nicht am ersten Workshop teilgenommen haben.)Azzlack Stereotyp 2 - Exotic Pole Workshop﻿Kennt ihr das? Sobald ihr Deutschrap hört, fühlt ihr euch sofort richtig 'gangster'?  Dann wird das hier euer Workshop!Alles was ihr braucht sind eure Heels, eine Prise 'street credibility' und Bock. Lasst gemeinsam mit Emmy zu feinster 'Azzlack Musik' den 'Babo' raushängen und 'rasiert' mit euren Heels die Pole ;)Preis: 35€ pro Person 30€ für Poda Mitglieder mit AboMeld dich an!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",10.06.2023,11:00-12:30 Uhr,90 min,Alle Level,Emmy,"Kreativ, offen, Allrounder & Tattoo lover.
Emmy hat mit vier Jahren ihre Liebe zum Tanzen entdeckt und lange Ballett getanzt. Anfang 20 entdeckte sie die Liebe zum Pole. Mittlerweile ist Luftakrobatik und Tanz kein Sport mehr, sondern eine Leidenschaft, die jeden Tag neu erfunden werden kann. Das ist was sie am meisten an diesen Sportarten fasziniert. Emmy hat ihren Master in Literatur und Kulturwissenschaften abgeschlossen und startet aktuell ins Berufsleben.
Teaching language: German & English","Preis: 35,00 €",https://www.eversports.de/e/workshop/xo_EQbOQn,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:45
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",02.07.2023,12:00-13:30 Uhr,90 min,0,Joana,"Profi durch & durch. Joana ist freiberufliche Tänzerin und Luftakrobatin.Die gebürtige Kanadierin studierte Tanz an der Fontys Tanzakademie in Tilburg und ist seit ihrem erfolgreichen Abschluss in 2008 in Musicals und Opern, auf Festivals und verschiedenen anderen Bühnen zu sehen.
Ihr Einstieg in die Luftakrobatik war ein Pole Dance Intensivkurs Anfang 2013. Ein paar Jahre später fügte sie weitere Schwerkrafttrotzende Disziplinen hinzu, wie z.B. Aerial Hoop, Silks und Net. In ihrer Arbeit liebt sie Herausforderungen und Nervenkitzel, im Privaten ist sie eher ruhig und besonnen. Sie legt gerne den Schwerpunkt in ihren Kursen auf effizientes und bewusstes Koordinieren in der Luft und auf dem Boden.
Teaching language: German, English & Dutch","Preis: 35,00 €",https://www.eversports.de/e/workshop/HGkpQ9uAJ,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:45
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",06.08.2023,12:00-13:30 Uhr,90 min,0,Emmy,"Kreativ, offen, Allrounder & Tattoo lover.
Emmy hat mit vier Jahren ihre Liebe zum Tanzen entdeckt und lange Ballett getanzt. Anfang 20 entdeckte sie die Liebe zum Pole. Mittlerweile ist Luftakrobatik und Tanz kein Sport mehr, sondern eine Leidenschaft, die jeden Tag neu erfunden werden kann. Das ist was sie am meisten an diesen Sportarten fasziniert. Emmy hat ihren Master in Literatur und Kulturwissenschaften abgeschlossen und startet aktuell ins Berufsleben.
Teaching language: German & English","Preis: 35,00 €",https://www.eversports.de/e/workshop/Bz5neTPTa,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:46
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",03.09.2023,12:00-13:30 Uhr,90 min,0,Joana,"Profi durch & durch. Joana ist freiberufliche Tänzerin und Luftakrobatin.Die gebürtige Kanadierin studierte Tanz an der Fontys Tanzakademie in Tilburg und ist seit ihrem erfolgreichen Abschluss in 2008 in Musicals und Opern, auf Festivals und verschiedenen anderen Bühnen zu sehen.
Ihr Einstieg in die Luftakrobatik war ein Pole Dance Intensivkurs Anfang 2013. Ein paar Jahre später fügte sie weitere Schwerkrafttrotzende Disziplinen hinzu, wie z.B. Aerial Hoop, Silks und Net. In ihrer Arbeit liebt sie Herausforderungen und Nervenkitzel, im Privaten ist sie eher ruhig und besonnen. Sie legt gerne den Schwerpunkt in ihren Kursen auf effizientes und bewusstes Koordinieren in der Luft und auf dem Boden.
Teaching language: German, English & Dutch","Preis: 35,00 €",https://www.eversports.de/e/workshop/3zdELX6G_,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:46
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",01.10.2023,12:00-13:30 Uhr,90 min,0,Joana,"Profi durch & durch. Joana ist freiberufliche Tänzerin und Luftakrobatin.Die gebürtige Kanadierin studierte Tanz an der Fontys Tanzakademie in Tilburg und ist seit ihrem erfolgreichen Abschluss in 2008 in Musicals und Opern, auf Festivals und verschiedenen anderen Bühnen zu sehen.
Ihr Einstieg in die Luftakrobatik war ein Pole Dance Intensivkurs Anfang 2013. Ein paar Jahre später fügte sie weitere Schwerkrafttrotzende Disziplinen hinzu, wie z.B. Aerial Hoop, Silks und Net. In ihrer Arbeit liebt sie Herausforderungen und Nervenkitzel, im Privaten ist sie eher ruhig und besonnen. Sie legt gerne den Schwerpunkt in ihren Kursen auf effizientes und bewusstes Koordinieren in der Luft und auf dem Boden.
Teaching language: German, English & Dutch","Preis: 35,00 €",https://www.eversports.de/e/workshop/tUZ-pbNF0,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:46
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",05.11.2023,12:00-13:30 Uhr,90 min,0,Joana,"Profi durch & durch. Joana ist freiberufliche Tänzerin und Luftakrobatin.Die gebürtige Kanadierin studierte Tanz an der Fontys Tanzakademie in Tilburg und ist seit ihrem erfolgreichen Abschluss in 2008 in Musicals und Opern, auf Festivals und verschiedenen anderen Bühnen zu sehen.
Ihr Einstieg in die Luftakrobatik war ein Pole Dance Intensivkurs Anfang 2013. Ein paar Jahre später fügte sie weitere Schwerkrafttrotzende Disziplinen hinzu, wie z.B. Aerial Hoop, Silks und Net. In ihrer Arbeit liebt sie Herausforderungen und Nervenkitzel, im Privaten ist sie eher ruhig und besonnen. Sie legt gerne den Schwerpunkt in ihren Kursen auf effizientes und bewusstes Koordinieren in der Luft und auf dem Boden.
Teaching language: German, English & Dutch","Preis: 35,00 €",https://www.eversports.de/e/workshop/5u5RfrpDC,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:46
Circus Kids Luftakrobatik Workshop,"Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!Für alle Kids die schon immer mal Zirkusluft schnuppern wollten!Jeder kennt sie: die Stange auf dem Spielplatz. Pole Dance ist längst nicht nur was für Erwachsene! Dieser Kurs richtet sich speziell an Kinder im Alter von 6-12 Jahren.Hier wird auf spielerischer und kindgerechter Weise der Umgang mit der Pole, Tuch und Luftring erlernt. Ein großer Spaß für die Kleinen!Workshop: jeden 1. Sonntag im Monat 12.00 - 13.30 UhrEltern dürfen gerne in unsere Lounge zuschauen.Kleidung: kurze & lange Hose + ShirtWir freuen uns auf euch!",poda Studio,Aachen,"10-12 Martinstraße Innenhof, 52062",03.12.2023,12:00-13:30 Uhr,90 min,0,Emmy,"Kreativ, offen, Allrounder & Tattoo lover.
Emmy hat mit vier Jahren ihre Liebe zum Tanzen entdeckt und lange Ballett getanzt. Anfang 20 entdeckte sie die Liebe zum Pole. Mittlerweile ist Luftakrobatik und Tanz kein Sport mehr, sondern eine Leidenschaft, die jeden Tag neu erfunden werden kann. Das ist was sie am meisten an diesen Sportarten fasziniert. Emmy hat ihren Master in Literatur und Kulturwissenschaften abgeschlossen und startet aktuell ins Berufsleben.
Teaching language: German & English","Preis: 35,00 €",https://www.eversports.de/e/workshop/RPiNq9mm6,https://www.eversports.de/s/poda-studio,2023-05-06 21:08:47
